household_id,respondent_id,county,wave,gender,KPMD_status,sheep_owned,goats_owned,vaccinated_sheep,vaccinated_goats,disease_cases_sheep,disease_cases_goats,treated_sheep,treated_goats,sold_sheep_to_KPMD,sold_sheep_to_nonKPMD,sold_goats_to_KPMD,sold_goats_to_nonKPMD,avg_liveweight_sheep_KPMD_kg,avg_liveweight_sheep_nonKPMD_kg,avg_liveweight_goat_KPMD_kg,avg_liveweight_goat_nonKPMD_kg,price_per_kg_sheep_KPMD,price_per_kg_sheep_nonKPMD,price_per_kg_goat_KPMD,price_per_kg_goat_nonKPMD,age_at_sale_sheep_months,age_at_sale_goat_months,distance_to_market_km,time_to_market_hours,gender_decision_index_0_1,gender_control_index_0_1,has_credit,loan_amount_kes,repayment_rate_0_1,rCSI,coping_capacity_index_0_100,total_income_kes,livestock_income_kes,other_income_kes,sold_sheep_total,sold_goats_total,vaccination_rate_sheep,vaccination_rate_goats,disease_rate_sheep,disease_rate_goats,revenue_sheep_KPMD,revenue_sheep_nonKPMD,revenue_goat_KPMD,revenue_goat_nonKPMD,total_livestock_sales_revenue
HH0001,R0001,Samburu,Baseline,Male,Control,23,13,10,5,4,2,2,1,0,0,0,6,,,,25.5893691,,,,379.495786,,12.70986066,18.55080913,2.87939528,0.314046237,0.405514516,FALSE,0,,7.049441416,45.1155262,19135,10182,8953,0,6,0.434782609,0.384615385,0.173913043,0.153846154,0,0,0,58266.35,58266.35
HH0001,R0001,Samburu,Midline,Male,Control,22,17,10,6,3,3,2,2,1,3,1,4,20.48872633,23.03088917,22.02569553,22.91977974,395.3445582,243.3625366,386.0794765,378.9351263,9.696905099,14.74306603,8.759847583,2.041092667,0.841467647,0.310163067,FALSE,0,,0,68.671222,70952,33897,37055,4,5,0.454545455,0.352941176,0.136363636,0.176470588,8100.11,16814.57,8503.67,34740.44,68158.79
HH0001,R0001,Samburu,Endline,Male,Control,21,12,9,5,3,2,2,1,0,1,0,4,,24.93240561,,16.54195633,,339.8189651,,417.9055905,14.35881701,15.45009555,30.1866196,3.500388029,0.686099938,0.513125974,FALSE,0,,12.20665391,70.89069438,43225,22060,21165,1,4,0.428571429,0.416666667,0.142857143,0.166666667,0,8472.5,0,27651.9,36124.4
HH0002,R0002,Narok,Baseline,Male,Control,33,3,15,1,5,1,3,0,0,6,0,2,,17.45160929,,22.25651038,,382.1029816,,372.1157746,17.66951285,10.94970463,18.90142423,0.860771895,0.600010425,0.46078528,TRUE,12008,0.708134805,4.443701036,57.65315113,177256,97155,80101,6,2,0.454545455,0.333333333,0.151515152,0.333333333,0,40009.87,0,16564,56573.87
HH0002,R0002,Narok,Midline,Male,Control,30,7,14,3,5,1,3,0,0,3,0,2,,22.36750593,,27.86590042,,321.3017007,,346.105137,12.13057842,11.33356864,17.62612873,3.432311572,0.804652664,0.261279668,FALSE,0,,6.828845262,55.17464975,87592,51684,35908,3,2,0.466666667,0.428571429,0.166666667,0.142857143,0,21560.15,0,19289.06,40849.21
HH0002,R0002,Narok,Endline,Male,Control,34,3,14,1,5,1,3,0,0,3,0,2,,15,,17.88933027,,404.2532635,,385.4410773,17.97162441,9.604551574,7.606037323,2.923783987,0.488146839,0.423794794,FALSE,0,,18.60821473,57.9288192,139324,74901,64423,3,2,0.411764706,0.333333333,0.147058824,0.333333333,0,18191.4,0,13790.57,31981.97
HH0003,R0003,Narok,Baseline,Male,Control,17,18,6,7,3,4,2,2,1,5,0,3,22.5766653,22.15745098,,21.24815105,443.0981312,345.711701,,382.5559687,15.82368953,13.55982737,19.53566385,2.735862995,0.839952371,0.89590642,FALSE,0,,11.78390056,56.68961593,99956,27565,72391,6,3,0.352941176,0.388888889,0.176470588,0.222222222,10003.68,38300.45,0,24385.82,72689.95
HH0003,R0003,Narok,Midline,Male,Control,20,14,10,6,3,2,2,1,0,2,0,4,,20.83276166,,17.05912411,,344.8434365,,398.4970376,10.31822066,17.98041086,32.97888539,2.455402982,0.49016347,0.695636933,TRUE,33045,0.845675322,14.44425352,65.2272276,68704,46684,22020,2,4,0.5,0.428571429,0.15,0.142857143,0,14368.08,0,27192.04,41560.12
HH0003,R0003,Narok,Endline,Male,Control,19,17,7,6,3,3,1,2,0,6,0,2,,24.02193065,,18.54212806,,329.9217455,,284.9706671,12.64308104,6,8.160971765,3.132290259,0.560084736,0.273428131,TRUE,113688,0.797739691,16.58769407,50.83681332,49591,26011,23580,6,2,0.368421053,0.352941176,0.157894737,0.176470588,0,47552.14,0,10567.93,58120.07
HH0004,R0004,Samburu,Baseline,Female,Control,13,21,5,8,2,4,1,2,0,4,0,6,,22.67978945,,22.54433524,,323.9241527,,419.0054492,14.3436001,15.85043641,22.02046873,3.522094759,0.291121546,0.348032462,FALSE,0,,20.51036319,58.38003478,91993,49161,42832,4,6,0.384615385,0.380952381,0.153846154,0.19047619,0,29386.13,0,56677.2,86063.33
HH0004,R0004,Samburu,Midline,Female,Control,12,18,6,8,2,3,1,1,0,0,0,2,,,,25.55178307,,,,349.3502082,,16.2360425,23.6149153,2.47916089,0.557121873,0.300186563,FALSE,0,,15.23268073,55.88510021,57798,18608,39190,0,2,0.5,0.444444444,0.166666667,0.166666667,0,0,0,17853.04,17853.04
HH0004,R0004,Samburu,Endline,Female,Control,13,21,5,8,2,3,1,2,1,4,0,0,21.3757634,16.83230405,,,369.1041612,255.7179115,,,14.76252168,,21.40749557,3.463580845,0.893916864,0.424821355,FALSE,0,,16.02899559,57.00957854,56947,28271,28676,5,0,0.384615385,0.380952381,0.153846154,0.142857143,7889.88,17217.29,0,0,25107.17
HH0005,R0005,Kajiado,Baseline,Female,Control,15,18,6,7,2,3,1,2,0,3,0,4,,24.49403033,,14,,443.9768617,,363.7184667,17.32454845,9.880282219,30.12773905,1.862609106,0.178921133,0.537964555,FALSE,0,,16.43006916,53.51079172,68754,36309,32445,3,4,0.4,0.388888889,0.133333333,0.166666667,0,32624.35,0,20368.23,52992.58
HH0005,R0005,Kajiado,Midline,Female,Control,16,15,7,6,3,2,2,1,0,4,0,4,,22.52180006,,24.80554465,,375.3981345,,385.9997783,8.945643816,10.19883324,34.46920128,2.998965214,0.560712063,0.699626449,FALSE,0,,16.97860262,48.88607651,38282,10014,28268,4,4,0.4375,0.4,0.1875,0.133333333,0,33818.57,0,38299.74,72118.31
HH0005,R0005,Kajiado,Endline,Female,Control,12,20,5,8,2,4,1,2,0,5,0,0,,24.5677113,,,,459.7888583,,,18.15281846,,29.6390912,3.016328039,0.73591547,0.578718715,FALSE,0,,11.42422115,49.75727625,38863,24737,14126,5,0,0.416666667,0.4,0.166666667,0.2,0,56479.8,0,0,56479.8
HH0006,R0006,Kajiado,Baseline,Female,KPMD,1,13,1,8,0,1,0,1,0,0,1,0,,,24.2745675,,,,376.8414698,,,11.19106518,22.71961333,1.997450786,0.671198618,0.800802649,FALSE,0,,3.394873427,50.81592734,48705,35428,13277,0,1,1,0.615384615,0,0.076923077,0,0,9147.66,0,9147.66
HH0006,R0006,Kajiado,Midline,Female,KPMD,5,15,3,10,1,1,1,1,3,1,2,1,25.63143442,23.058994,27.39163735,29.131569,357.7003286,288.3588659,396.4687181,486.0869202,9.588976296,15.91735042,34.77700814,1.512488231,0.382291476,0.562621739,TRUE,17061,0.873345877,7.793654627,71.81062914,82771,52396,30375,4,3,0.6,0.666666667,0.2,0.066666667,27505.12,6649.27,21719.85,14160.47,70034.71
HH0006,R0006,Kajiado,Endline,Female,KPMD,6,15,4,11,1,2,1,1,1,1,2,1,22.52792283,25.38824075,21.7551228,22.74383053,443.338601,336.1948823,452.560379,315.345543,10.3982727,6.778567921,18.72996756,2.446054726,0.359568464,0.308694822,FALSE,0,,1.40758679,46.63794627,27657,18833,8824,2,3,0.666666667,0.733333333,0.166666667,0.133333333,9987.5,8535.4,19691.01,7172.17,45386.08
HH0007,R0007,Kajiado,Baseline,Male,Control,6,18,3,8,1,4,0,2,0,5,0,4,,22.30217694,,21.46509342,,319.9359296,,414.6419057,13.47512073,10.73276452,29.36509844,1.971072413,0.507204969,0.331844896,TRUE,5911,0.806395679,7.156808951,63.0775767,16955,8926,8029,5,4,0.5,0.444444444,0.166666667,0.222222222,0,35676.34,0,35601.31,71277.65
HH0007,R0007,Kajiado,Midline,Male,Control,0,12,0,5,0,2,0,1,0,0,0,1,,,,18.80905292,,,,351.508098,,11.89832735,16.93243243,2.8117148,0.342415283,0.318966019,FALSE,0,,0.541752761,56.55234598,16960,6438,10522,0,1,,0.416666667,,0.166666667,0,0,0,6611.53,6611.53
HH0007,R0007,Kajiado,Endline,Male,Control,2,19,1,7,0,3,0,1,0,1,0,3,,22.05007976,,20.45407045,,376.0681175,,375.3811166,11.08079318,16.5897145,22.41470427,2.580886822,0.165481601,0.459980485,FALSE,0,,1.302785366,48.39177634,45039,14777,30262,1,3,0.5,0.368421053,0,0.157894737,0,8292.33,0,23034.22,31326.55
HH0008,R0008,Narok,Baseline,Male,KPMD,27,23,19,16,3,2,2,1,2,2,4,2,25.77012851,24.21088425,23.13553905,20.0925218,431.952453,305.8587151,346.8832771,400.6119421,15.47344453,9.645771027,13.63946512,2.097780468,0.215497267,0.367673237,FALSE,0,,10.65761046,79.65002345,114633,62220,52413,4,6,0.703703704,0.695652174,0.111111111,0.086956522,22262.94,14810.22,32101.33,16098.61,85273.1
HH0008,R0008,Narok,Midline,Male,KPMD,25,22,17,15,3,2,2,1,2,0,0,0,22.1903749,,,,371.1498551,,,,11.1695601,,21.07406698,2.471016049,0.748643454,0.386480306,FALSE,0,,15.41189247,51.11198172,75237,51187,24050,2,0,0.68,0.681818182,0.12,0.090909091,16471.91,0,0,0,16471.91
HH0008,R0008,Narok,Endline,Male,KPMD,26,22,18,16,2,2,1,1,3,1,6,2,19.80247084,23.7352882,29.93412509,24.37064657,393.1460864,390.5102897,375.1048722,391.5140498,11.24859588,10.94112954,26.28454516,1.251300828,0.769962503,0.372258958,FALSE,0,,7.359290556,57.15101687,55014,38388,16626,4,8,0.692307692,0.727272727,0.076923077,0.090909091,23355.79,9268.87,67370.62,19082.9,119078.18
HH0009,R0009,Samburu,Baseline,Female,KPMD,17,18,12,12,2,2,1,1,2,1,0,0,23.84442556,31.17459786,,,357.4300961,358.3048086,,,16.62632986,,38.06092888,3.343052504,0.829539324,0.436703729,FALSE,0,,2.206546384,66.0093664,32202,18297,13905,3,0,0.705882353,0.666666667,0.117647059,0.111111111,17045.43,11170.01,0,0,28215.44
HH0009,R0009,Samburu,Midline,Female,KPMD,17,15,11,10,2,2,2,1,5,3,1,0,26.28498892,26.94222799,23.58732836,,427.9456549,262.8186958,349.8660723,,13.04593303,6.767526506,6.255294732,1.530556195,0.623133938,0.35799876,FALSE,0,,6.781465992,79.22251597,43479,35625,7854,8,1,0.647058824,0.666666667,0.117647059,0.133333333,56242.73,21242.76,8252.41,0,85737.9
HH0009,R0009,Samburu,Endline,Female,KPMD,18,17,12,10,2,2,2,1,2,2,2,1,23.01935894,22.82056332,25.60209652,25.24075388,347.872842,417.1709856,389.155056,369.0384718,9.758364963,6,26.84045396,2.415790728,0.457717309,0.508708904,FALSE,0,,2.759139591,70.67055517,324602,149324,175278,4,3,0.666666667,0.588235294,0.111111111,0.117647059,16015.62,19040.15,19926.37,9314.81,64296.95
HH0010,R0010,Narok,Baseline,Male,KPMD,24,16,15,10,2,2,1,1,2,1,2,1,30.93451444,23.25205664,22.01294924,18.70097848,377.6806421,329.8228901,480.4003716,449.6438089,8.896881516,8.867719689,18.73770108,2.878058496,0.643649387,0.283128817,FALSE,0,,18.53976975,42.36809191,56699,41162,15537,3,3,0.625,0.625,0.083333333,0.125,23366.73,7669.06,21150.06,8408.78,60594.63
HH0010,R0010,Narok,Midline,Male,KPMD,27,24,17,16,3,2,2,2,3,1,0,0,23.49556774,29.11989333,,,423.2019226,329.8705147,,,15.84304909,,18.67855511,2.496941573,0.749039888,0.479983241,FALSE,0,,6.175977711,54.14196085,68464,44121,24343,4,0,0.62962963,0.666666667,0.111111111,0.083333333,29830.11,9605.79,0,0,39435.9
HH0010,R0010,Narok,Endline,Male,KPMD,29,19,19,14,3,2,2,1,2,2,1,0,25.59817347,22.69925586,29.87876777,,388.9582111,313.7582678,423.8576936,,12.81292362,11.91257876,36.07876159,2.145549623,0.865731857,0.907304485,TRUE,44550,0.924673357,6.071690681,61.08241851,185491,94473,91018,4,1,0.655172414,0.736842105,0.103448276,0.105263158,19913.24,14244.16,12664.35,0,46821.75
HH0011,R0011,Kajiado,Baseline,Male,Control,18,26,7,12,3,4,2,2,0,2,0,1,,22.34986361,,19.72328508,,376.4012211,,348.6293355,16.61389189,8.962060959,25.2637958,3.957250299,0.420851684,0.533079124,FALSE,0,,6.608015872,60.72697794,30442,18206,12236,2,1,0.388888889,0.461538462,0.166666667,0.153846154,0,16825.03,0,6876.12,23701.15
HH0011,R0011,Kajiado,Midline,Male,Control,15,20,7,8,2,4,1,2,0,0,0,2,,,,19.1943333,,,,403.7764084,,13.5879251,27.16979418,3.222063927,0.329514844,0.74835984,FALSE,0,,7.076736248,48.12197078,198279,125716,72563,0,2,0.466666667,0.4,0.133333333,0.2,0,0,0,15500.44,15500.44
HH0011,R0011,Kajiado,Endline,Male,Control,14,23,6,8,2,5,1,3,0,1,0,2,,23.00328251,,21.06874485,,395.0470742,,248.3545468,16.03362596,11.03777295,5.693671031,2.95784182,0.403335391,0.426985362,TRUE,43033,0.774341207,0,61.03339168,91840,64057,27783,1,2,0.428571429,0.347826087,0.142857143,0.217391304,0,9087.38,0,10465.04,19552.42
HH0012,R0012,Narok,Baseline,Male,Non-KPMD Seller,43,16,21,8,5,2,3,1,1,2,0,0,19.77981912,18.81700213,,,353.2235922,340.7779233,,,14.02060476,,34.84479583,2.195728935,0.735839269,0.411813843,FALSE,0,,0,51.47103228,16308,5784,10524,3,0,0.488372093,0.5,0.11627907,0.125,6986.7,12824.84,0,0,19811.54
HH0012,R0012,Narok,Midline,Male,Non-KPMD Seller,45,16,24,8,6,3,4,2,1,2,0,1,24.52844549,19.00311835,,14,344.4740842,336.1903483,,438.4629324,12.52718765,14.53577227,22.31691766,3.458483601,0.702992122,0.321232307,TRUE,31961,0.685627379,10.67633855,57.91883143,16038,8092,7946,3,1,0.533333333,0.5,0.133333333,0.1875,8449.41,12777.33,0,6138.48,27365.22
HH0012,R0012,Narok,Endline,Male,Non-KPMD Seller,43,17,20,9,6,3,3,2,0,2,1,5,,24.25746252,25.50174695,18.48813937,,412.6609385,389.9981394,382.9912133,14.78096552,12.59707378,32.10808273,3.155442104,0.055669033,0.655349376,FALSE,0,,1.398895087,57.69843364,53480,28128,25352,2,6,0.465116279,0.529411765,0.139534884,0.176470588,0,20020.21,9945.63,35403.97,65369.81
HH0013,R0013,Narok,Baseline,Male,KPMD,14,22,9,15,1,2,1,2,5,3,1,1,22.06000586,23.51647765,23.07288421,22.19361468,396.3703355,300.5834535,385.5275464,288.829836,10.93503815,10.71969779,20.28982425,2.067703578,0.671194574,0.783353662,FALSE,0,,12.99081768,63.00844475,40951,16539,24412,8,2,0.642857143,0.681818182,0.071428571,0.090909091,43719.66,21205.99,8895.23,6410.18,80231.06
HH0013,R0013,Narok,Midline,Male,KPMD,13,23,8,15,1,3,1,2,2,0,3,0,22.74184623,,16.90913743,,368.5598311,,444.0383854,,17.87504236,7.311351217,22.96699223,1.57428268,0.434317807,0.265716969,FALSE,0,,10.15925016,67.7157189,77961,44878,33083,2,3,0.615384615,0.652173913,0.076923077,0.130434783,16763.46,0,22524.92,0,39288.38
HH0013,R0013,Narok,Endline,Male,KPMD,15,27,10,18,1,2,1,1,4,0,0,0,28.66817043,,,,388.9295566,,,,11.835318,,20.85554075,2.2647857,0.418932481,0.453985356,FALSE,0,,16.93196008,62.5858559,129419,95024,34395,4,0,0.666666667,0.666666667,0.066666667,0.074074074,44599.6,0,0,0,44599.6
HH0014,R0014,Kajiado,Baseline,Female,Control,11,8,5,3,2,1,1,0,0,4,0,3,,19.71847951,,22.59130857,,403.2104222,,396.3026447,15.34896772,10.69883648,26.11817079,2.025831069,0.698529804,0.836477095,FALSE,0,,13.38495987,67.37570138,35105,11483,23622,4,3,0.454545455,0.375,0.181818182,0.125,0,31802.79,0,26858.99,58661.78
